experiment,method,n_views,n_objects,sde_ref_mean,sde_ref_min,sde_ref_max,f1_ref
axis_v00_p3_cluster,ransac_svd_sde,14,703,0.05344731664724308,4.82759625352147e-05,0.4986569218011834,
axis_v00_p3_cluster,ransac_svd_sde,26,563,0.05916129221328447,0.00011259676382353538,0.539479480335393,
axis_v00_p3_cluster,ransac_svd_sde,6,590,0.050396373088785744,0.0001514206268120783,0.4604484554119974,
axis_v00_p3_cluster,svd,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3_cluster,svd,14,703,0.019497380049776233,1.7098683128480756e-06,0.42962957558673975,
axis_v00_p3_cluster,svd,26,563,0.020639026436236635,2.0789594729209125e-05,0.45053898070188997,
axis_v00_p3_cluster,svd,6,590,0.0226902366359876,5.731351126419552e-05,0.2972175263373306,
axis_v00_p3_cluster,svd_sde,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3_cluster,svd_sde,14,703,0.019497380049776233,1.7098683128480756e-06,0.42962957558673975,
axis_v00_p3_cluster,svd_sde,26,563,0.020639026436236635,2.0789594729209125e-05,0.45053898070188997,
axis_v00_p3_cluster,svd_sde,6,590,0.0226902366359876,5.731351126419552e-05,0.2972175263373306,
axis_v00_p3_hdbscan_ms2,ransac_svd,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3_hdbscan_ms2,ransac_svd,14,710,0.0330650207261915,1.7195616564959787e-06,0.4248384527251886,
axis_v00_p3_hdbscan_ms2,ransac_svd,26,575,0.03656654828431336,5.1238087396679594e-05,0.538119623731661,
axis_v00_p3_hdbscan_ms2,ransac_svd,6,599,0.03247618777670399,5.36454811801796e-05,0.38594101857844376,
axis_v00_p3_hdbscan_ms2,ransac_svd_sde,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3_hdbscan_ms2,ransac_svd_sde,14,710,0.0330650207261915,1.7195616564959787e-06,0.4248384527251886,
axis_v00_p3_hdbscan_ms2,ransac_svd_sde,26,575,0.03656654828431336,5.1238087396679594e-05,0.538119623731661,
axis_v00_p3_hdbscan_ms2,ransac_svd_sde,6,599,0.03247618777670399,5.36454811801796e-05,0.38594101857844376,
axis_v00_p3_hdbscan_ms2,svd,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3_hdbscan_ms2,svd,14,710,0.0213070013074765,1.7195616564959787e-06,0.42962957558673975,
axis_v00_p3_hdbscan_ms2,svd,26,575,0.025318652873673405,5.1238087396679594e-05,0.45053898070188997,
axis_v00_p3_hdbscan_ms2,svd,6,599,0.025430014766348496,5.36454811801796e-05,0.38594101857844376,
axis_v00_p3_hdbscan_ms2,svd_sde,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3_hdbscan_ms2,svd_sde,14,710,0.0213070013074765,1.7195616564959787e-06,0.42962957558673975,
axis_v00_p3_hdbscan_ms2,svd_sde,26,575,0.025318652873673405,5.1238087396679594e-05,0.45053898070188997,
axis_v00_p3_hdbscan_ms2,svd_sde,6,599,0.025430014766348496,5.36454811801796e-05,0.38594101857844376,
axis_v00_p3_hdbscan_ms3,ransac_svd,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3_hdbscan_ms3,ransac_svd,14,710,0.034211727744275645,3.9931776116735855e-05,0.4666975162620782,
axis_v00_p3_hdbscan_ms3,ransac_svd,26,575,0.03787466499321089,1.8009509666407178e-05,0.45053898070188997,
axis_v00_p3_hdbscan_ms3,ransac_svd,6,599,0.0367636579945307,0.000157516173150935,0.38594101857844376,
axis_v00_p3_hdbscan_ms3,ransac_svd_sde,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3_hdbscan_ms3,ransac_svd_sde,14,710,0.034211727744275645,3.9931776116735855e-05,0.4666975162620782,
axis_v00_p3_hdbscan_ms3,ransac_svd_sde,26,575,0.03787466499321089,1.8009509666407178e-05,0.45053898070188997,
axis_v00_p3_hdbscan_ms3,ransac_svd_sde,6,599,0.0367636579945307,0.000157516173150935,0.38594101857844376,
axis_v00_p3_hdbscan_ms3,svd,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3_hdbscan_ms3,svd,14,710,0.023072341074046952,1.7098683128480756e-06,0.4296295755867397,
axis_v00_p3_hdbscan_ms3,svd,26,575,0.02535759498132676,1.8009509666407178e-05,0.45053898070188997,
axis_v00_p3_hdbscan_ms3,svd,6,599,0.02565815436497794,5.731351126419552e-05,0.38594101857844376,
axis_v00_p3_hdbscan_ms3,svd_sde,1,98,0.03471934921795717,0.0004211253977409208,0.23426269803815536,
axis_v00_p3_hdbscan_ms3,svd_sde,14,710,0.023072341074046952,1.7098683128480756e-06,0.4296295755867397,
axis_v00_p3_hdbscan_ms3,svd_sde,26,575,0.02535759498132676,1.8009509666407178e-05,0.45053898070188997,
