experiment,method,n_views,n_objects,sde_ref_mean,sde_ref_min,sde_ref_max,f1_ref
plane_v00_1_p3,ransac_svd,14,838,0.016235333766572855,4.910022120381158e-06,0.21342763193766767,0.0655
plane_v00_1_p3,ransac_svd,26,785,0.015955980457677446,2.0153934937025768e-06,0.19205043697351948,0.03856382978723404
plane_v00_1_p3,ransac_svd,6,834,0.013460497354803718,6.093895843145696e-06,0.269227834188732,0.10653266331658291
plane_v00_1_p3,ransac_svd_sde,1,651,0.014704030236026705,2.4913794610314353e-05,0.27174739647766727,0.33053040103492887
plane_v00_1_p3,ransac_svd_sde,14,838,0.016235333766572855,4.910022120381158e-06,0.21342763193766767,0.0655
plane_v00_1_p3,ransac_svd_sde,26,785,0.015955980457677446,2.0153934937025768e-06,0.19205043697351948,0.03856382978723404
plane_v00_1_p3,ransac_svd_sde,6,834,0.013460497354803718,6.093895843145696e-06,0.269227834188732,0.10653266331658291
plane_v00_1_p3,svd,1,651,0.014704030236026705,2.4913794610314353e-05,0.27174739647766727,0.33053040103492887
plane_v00_1_p3,svd,14,838,0.010811398780776756,4.021983113555562e-06,0.18392224967247398,0.062
plane_v00_1_p3,svd,26,785,0.004889789949273654,4.4987707294047907e-07,0.09792263254437521,0.08643617021276595
plane_v00_1_p3,svd,6,834,0.00928832774261784,6.093895843145696e-06,0.269227834188732,0.0964824120603015
plane_v00_1_p3,svd_sde,1,651,0.014704030236026705,2.4913794610314353e-05,0.27174739647766727,0.33053040103492887
plane_v00_1_p3,svd_sde,14,838,0.010811398780776756,4.021983113555562e-06,0.18392224967247398,0.062
plane_v00_1_p3,svd_sde,26,785,0.004889789949273654,4.4987707294047907e-07,0.09792263254437521,0.08643617021276595
plane_v00_1_p3,svd_sde,6,834,0.00928832774261784,6.093895843145696e-06,0.269227834188732,0.0964824120603015
plane_v00_1_p5,ransac_svd,1,727,0.019594929242091757,4.948301498182833e-06,0.2994563528632664,0.30110336817653893
plane_v00_1_p5,ransac_svd,14,843,0.015974378656716866,5.5378442774204444e-06,0.26819026028607373,0.05939363817097416
plane_v00_1_p5,ransac_svd,26,797,0.016254624435639957,1.4042853616776647e-06,0.19655626478588425,0.04061844863731656
plane_v00_1_p5,ransac_svd,6,841,0.014321622616983722,1.186294295104107e-06,0.2706266423508927,0.09412350597609562
plane_v00_1_p5,ransac_svd_sde,1,727,0.019594929242091757,4.948301498182833e-06,0.2994563528632664,0.30110336817653893
plane_v00_1_p5,ransac_svd_sde,14,843,0.015974378656716866,5.5378442774204444e-06,0.26819026028607373,0.05939363817097416
plane_v00_1_p5,ransac_svd_sde,26,797,0.016254624435639957,1.4042853616776647e-06,0.19655626478588425,0.04061844863731656
plane_v00_1_p5,ransac_svd_sde,6,841,0.014321622616983722,1.186294295104107e-06,0.2706266423508927,0.09412350597609562
plane_v00_1_p5,svd,1,727,0.019594929242091757,4.948301498182833e-06,0.2994563528632664,0.30110336817653893
plane_v00_1_p5,svd,14,843,0.010221476522858361,1.016546311469322e-06,0.18102853988672366,0.061381709741550695
plane_v00_1_p5,svd,26,797,0.004877500750600127,1.4042853616776647e-06,0.18605818746165279,0.09014675052410902
plane_v00_1_p5,svd,6,841,0.009160892222815558,1.186294295104107e-06,0.26676356974192295,0.08839641434262949
plane_v00_1_p5,svd_sde,1,727,0.019594929242091757,4.948301498182833e-06,0.2994563528632664,0.30110336817653893
plane_v00_1_p5,svd_sde,14,843,0.010221476522858361,1.016546311469322e-06,0.18102853988672366,0.061381709741550695
plane_v00_1_p5,svd_sde,26,797,0.004877500750600127,1.4042853616776647e-06,0.18605818746165279,0.09014675052410902
plane_v00_1_p5,svd_sde,6,841,0.009160892222815558,1.186294295104107e-06,0.26676356974192295,0.08839641434262949
plane_v00_cluster,ransac_svd,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_cluster,ransac_svd,14,694,0.021291512643148713,5.014606134908742e-06,0.2856985401752474,0.10675512665862485
plane_v00_cluster,ransac_svd,26,588,0.02366759988526067,1.5907224229774893e-05,0.3062253856846896,0.06114327062228654
plane_v00_cluster,ransac_svd,6,494,0.018628464547629047,2.6652133532870467e-06,0.29807639123773416,0.16046712802768165
plane_v00_cluster,ransac_svd_sde,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_cluster,ransac_svd_sde,14,694,0.021291512643148713,5.014606134908742e-06,0.2856985401752474,0.10675512665862485
plane_v00_cluster,ransac_svd_sde,26,588,0.02366759988526067,1.5907224229774893e-05,0.3062253856846896,0.06114327062228654
plane_v00_cluster,ransac_svd_sde,6,494,0.018628464547629047,2.6652133532870467e-06,0.29807639123773416,0.16046712802768165
plane_v00_cluster,svd,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_cluster,svd,14,694,0.015614431670915094,5.014606134908742e-06,0.2856985401752474,0.11188178528347406
plane_v00_cluster,svd,26,588,0.01650684819806053,1.5907224229774893e-05,0.3062253856846896,0.06982633863965268
plane_v00_cluster,svd,6,494,0.01606174794368283,2.6652133532870467e-06,0.29807639123773416,0.1980968858131488
plane_v00_cluster,svd_sde,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_cluster,svd_sde,14,694,0.015614431670915094,5.014606134908742e-06,0.2856985401752474,0.11188178528347406
plane_v00_cluster,svd_sde,26,588,0.01650684819806053,1.5907224229774893e-05,0.3062253856846896,0.06982633863965268
plane_v00_cluster,svd_sde,6,494,0.01606174794368283,2.6652133532870467e-06,0.29807639123773416,0.1980968858131488
plane_v00_hdbscan_ms2,ransac_svd,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_hdbscan_ms2,ransac_svd,14,698,0.01720734216377133,2.3261657647788868e-06,0.30316605969441507,0.16116446578631452
plane_v00_hdbscan_ms2,ransac_svd,26,595,0.021299904803488853,4.079866115962017e-06,0.3062253856846896,0.10386819484240688
plane_v00_hdbscan_ms2,ransac_svd,6,496,0.015771890719725984,1.9481387653687765e-06,0.29807639123773416,0.27413793103448275
plane_v00_hdbscan_ms2,ransac_svd_sde,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_hdbscan_ms2,ransac_svd_sde,14,698,0.01720734216377133,2.3261657647788868e-06,0.30316605969441507,0.16116446578631452
plane_v00_hdbscan_ms2,ransac_svd_sde,26,595,0.021299904803488853,4.079866115962017e-06,0.3062253856846896,0.10386819484240688
plane_v00_hdbscan_ms2,ransac_svd_sde,6,496,0.015771890719725984,1.9481387653687765e-06,0.29807639123773416,0.27413793103448275
plane_v00_hdbscan_ms2,svd,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_hdbscan_ms2,svd,14,698,0.015810429353062986,2.3261657647788868e-06,0.30316605969441507,0.16206482593037214
plane_v00_hdbscan_ms2,svd,26,595,0.01658926489337283,4.079866115962017e-06,0.3062253856846896,0.10780802292263611
plane_v00_hdbscan_ms2,svd,6,496,0.015430534670627733,1.9481387653687765e-06,0.29807639123773416,0.2806034482758621
plane_v00_hdbscan_ms2,svd_sde,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_hdbscan_ms2,svd_sde,14,698,0.015810429353062986,2.3261657647788868e-06,0.30316605969441507,0.16206482593037214
plane_v00_hdbscan_ms2,svd_sde,26,595,0.01658926489337283,4.079866115962017e-06,0.3062253856846896,0.10780802292263611
plane_v00_hdbscan_ms2,svd_sde,6,496,0.015430534670627733,1.9481387653687765e-06,0.29807639123773416,0.2806034482758621
plane_v00_hdbscan_ms3,ransac_svd,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_hdbscan_ms3,ransac_svd,14,698,0.019090456635520066,8.757126270564593e-06,0.30316605969441507,0.1371548619447779
plane_v00_hdbscan_ms3,ransac_svd,26,595,0.021979475063651905,9.422657371549211e-07,0.3062253856846896,0.12392550143266476
plane_v00_hdbscan_ms3,ransac_svd,6,496,0.017753370473460612,2.6652133532870467e-06,0.29807639123773416,0.19956896551724138
plane_v00_hdbscan_ms3,ransac_svd_sde,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_hdbscan_ms3,ransac_svd_sde,14,698,0.019090456635520066,8.757126270564593e-06,0.30316605969441507,0.1371548619447779
plane_v00_hdbscan_ms3,ransac_svd_sde,26,595,0.021979475063651905,9.422657371549211e-07,0.3062253856846896,0.12392550143266476
plane_v00_hdbscan_ms3,ransac_svd_sde,6,496,0.017753370473460612,2.6652133532870467e-06,0.29807639123773416,0.19956896551724138
plane_v00_hdbscan_ms3,svd,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_hdbscan_ms3,svd,14,698,0.016795588446225744,8.757126270564593e-06,0.30316605969441507,0.1440576230492197
plane_v00_hdbscan_ms3,svd,26,595,0.019477685871619233,9.422657371549211e-07,0.3062253856846896,0.12285100286532952
plane_v00_hdbscan_ms3,svd,6,496,0.015949998709956684,2.6652133532870467e-06,0.29807639123773416,0.23017241379310344
plane_v00_hdbscan_ms3,svd_sde,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_hdbscan_ms3,svd_sde,14,698,0.016795588446225744,8.757126270564593e-06,0.30316605969441507,0.1440576230492197
plane_v00_hdbscan_ms3,svd_sde,26,595,0.019477685871619233,9.422657371549211e-07,0.3062253856846896,0.12285100286532952
plane_v00_hdbscan_ms3,svd_sde,6,496,0.015949998709956684,2.6652133532870467e-06,0.29807639123773416,0.23017241379310344
plane_v00_hdbscan_ms5,ransac_svd,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_hdbscan_ms5,ransac_svd,14,698,0.019846587347761308,5.189901002640617e-07,0.30316605969441507,0.14165666266506605
plane_v00_hdbscan_ms5,ransac_svd,26,595,0.021190759967543923,9.198768888693168e-06,0.3062253856846896,0.11855300859598854
plane_v00_hdbscan_ms5,ransac_svd,6,496,0.018447136003836784,2.6652133532870467e-06,0.29807639123773416,0.1810344827586207
plane_v00_hdbscan_ms5,ransac_svd_sde,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_hdbscan_ms5,ransac_svd_sde,14,698,0.019846587347761308,5.189901002640617e-07,0.30316605969441507,0.14165666266506605
plane_v00_hdbscan_ms5,ransac_svd_sde,26,595,0.021190759967543923,9.198768888693168e-06,0.3062253856846896,0.11855300859598854
plane_v00_hdbscan_ms5,ransac_svd_sde,6,496,0.018447136003836784,2.6652133532870467e-06,0.29807639123773416,0.1810344827586207
plane_v00_hdbscan_ms5,svd,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_hdbscan_ms5,svd,14,698,0.016902519949628464,5.189901002640617e-07,0.30316605969441507,0.14675870348139256
plane_v00_hdbscan_ms5,svd,26,595,0.019672009552789863,9.198768888693168e-06,0.3062253856846896,0.11819484240687679
plane_v00_hdbscan_ms5,svd,6,496,0.01618039897606029,2.6652133532870467e-06,0.29807639123773416,0.2086206896551724
plane_v00_hdbscan_ms5,svd_sde,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00_hdbscan_ms5,svd_sde,14,698,0.016902519949628464,5.189901002640617e-07,0.30316605969441507,0.14675870348139256
plane_v00_hdbscan_ms5,svd_sde,26,595,0.019672009552789863,9.198768888693168e-06,0.3062253856846896,0.11819484240687679
plane_v00_hdbscan_ms5,svd_sde,6,496,0.01618039897606029,2.6652133532870467e-06,0.29807639123773416,0.2086206896551724
plane_v00_p3,ransac_svd,1,319,0.04768854956507846,0.00012151082682943767,0.3150371836206749,0.046495956873315356
