label,object_id,angular_error_deg,sde,dist_origin_centroid_norm,sphericity
direct,4421883492edac988075e9c7f3d235af,3.0908,0.042553,0.1365806228497928,0.5068535500913307
direct,445230afd5a0eda8714b6900bef4d88b,3.6377,0.667318,0.042494116474670995,0.6391793165652694
direct,44571992d18375483506f52bbfa5b648,4.416,0.18251,0.18350021839804265,0.6393237746919626
direct,44a50dc1a9d8a8a65144962e2c20b832,2.9313,0.095153,0.013540100354308915,0.6054042881229599
direct,45342795c9bf86d94b8710a3469971b1,2.8702,0.226376,0.5916363105580175,0.6688624375248506
direct,45c91d543ef3c1a829a50a2b3c5e5b6,40.1364,0.380749,0.2337092431836931,0.8149992385551912
direct,461441f5606348f3d88a3e0e92891ad5,2.6176,0.072622,0.6294430315521503,0.7635707149191991
direct,464e34455b49aa5c824080f516909671,3.3592,0.192154,0.4409278894680494,0.7115887487963044
direct,468a110ac6ede4507d11f9fcb943bcf5,8.6273,0.117865,0.4131480285535428,0.5980587044779794
direct,47c0481747741fa247367565b9fdaec5,3.7193,0.092713,0.07659485041038294,0.6674272389995122
direct,47c33af88f4926676213fd2f62884e62,11.5883,0.270375,0.2161534886179566,0.7929549750544294
direct,481f7a57a12517e0fe1b9fad6c90c7bf,4.2576,0.081144,0.1592048405623917,0.7495595162126656
direct,484a49065ab1430624256fd51423318f,3.5584,0.125396,0.07846309386184167,0.6827458754585595
direct,484f3660bf095e6f2b8a1a2aaa466160,2.9249,0.218866,0.5172019248052482,0.713140950959712
direct,488b9ae283b800b282ec895e014b9eb3,4.8103,0.176914,0.03306779211756973,0.6533252551943038
direct,48ea3558db137e87ad5067eac75a07f7,3.6991,0.482536,0.01783587217999827,0.7629437988193224
direct,49ab2a5a9005eab9d2b12aa6a0f050b3,3.7943,0.5052,0.110357946513582,0.6871533631088358
direct,49b69d5e4330ae2457b1c0b6d5084bcf,3.5083,0.470673,0.21771018215082613,0.7218283527770002
direct,4a007c5263b36c35f51f77a6d7299806,3.3915,0.608732,0.3132317801045587,0.7497013351845431
direct,4a7e3ca704e59439b362845c6edb57fc,86.6319,0.410209,0.12619847700787035,0.7810962800878675
direct,4acadee1dadac64e4b8710a3469971b1,3.4836,0.367452,0.3708312292772237,0.6501603892499923
direct,4b079b2e510fffb8cb2a965e75be701c,11.2604,0.787688,0.07478230502440039,0.6924315592336852
