group,experiment_id,angular_error_deg
independent,axis_v00,38.6483
independent,axis_v00,2.9596
independent,axis_v00,89.1564
independent,axis_v00,8.0777
independent,axis_v00,84.7854
independent,axis_v00,69.9155
independent,axis_v00,89.2527
independent,axis_v00,9.8075
independent,axis_v00,10.9556
independent,axis_v00,3.0114
independent,axis_v00,88.01
independent,axis_v00,3.7893
independent,axis_v00,64.8709
independent,axis_v00,47.0088
independent,axis_v00,89.1645
independent,axis_v00,14.574
independent,axis_v00,19.1006
independent,axis_v00,10.1141
independent,axis_v00,29.2791
independent,axis_v00,17.4018
independent,axis_v00,42.7877
independent,axis_v00,88.3508
independent,axis_v00,67.8859
independent,axis_v00,46.3125
independent,axis_v00,63.7209
independent,axis_v00,78.4956
independent,axis_v00,89.0346
independent,axis_v00,8.2575
independent,axis_v00,10.5052
independent,axis_v00,89.7946
independent,axis_v00,5.5206
independent,axis_v00,89.9979
independent,axis_v00,88.273
independent,axis_v00,13.9098
independent,axis_v00,90.0
independent,axis_v00,5.4204
independent,axis_v00,73.0065
independent,axis_v00,25.9101
independent,axis_v00,66.8872
independent,axis_v00,10.3494
independent,axis_v00,5.0286
independent,axis_v00,5.6543
independent,axis_v00,11.514
independent,axis_v00,88.8322
independent,axis_v00,3.3738
independent,axis_v00,84.8956
independent,axis_v00,5.0179
independent,axis_v00,78.3967
independent,axis_v00,10.1412
independent,axis_v00,61.5792
independent,axis_v00,89.4337
independent,axis_v00,56.4776
independent,axis_v00,5.2106
independent,axis_v00,2.7322
independent,axis_v00,85.5846
independent,axis_v00,13.2656
independent,axis_v00,85.7339
independent,axis_v00,7.0875
independent,axis_v00,83.7398
independent,axis_v00,80.1717
independent,axis_v00,88.59
independent,axis_v00,89.9332
independent,axis_v00,31.9784
independent,axis_v00,15.8525
independent,axis_v00,65.6953
independent,axis_v00,4.3693
independent,axis_v00,87.1563
independent,axis_v04,58.083
independent,axis_v04,49.9891
independent,axis_v04,11.8467
independent,axis_v04,89.9996
independent,axis_v04,77.0514
independent,axis_v04,2.1485
independent,axis_v04,7.0138
independent,axis_v04,8.14
independent,axis_v04,24.6842
independent,axis_v04,1.4659
independent,axis_v04,81.633
independent,axis_v04,3.9309
independent,axis_v04,86.2202
independent,axis_v04,60.7252
independent,axis_v04,89.3118
independent,axis_v04,89.9998
independent,axis_v04,52.9161
independent,axis_v04,11.0566
independent,axis_v04,5.3591
independent,axis_v04,86.7877
independent,axis_v04,6.2437
independent,axis_v04,5.7954
independent,axis_v04,5.9794
independent,axis_v04,76.6779
independent,axis_v04,23.8885
independent,axis_v04,4.5045
independent,axis_v04,63.8717
independent,axis_v04,11.7035
independent,axis_v04,54.2247
independent,axis_v04,86.6308
independent,axis_v04,87.1151
independent,axis_v04,87.3541
independent,axis_v04,78.9739
independent,axis_v04,67.0066
independent,axis_v04,54.5396
independent,axis_v04,10.1598
independent,axis_v04,2.795
independent,axis_v04,4.2432
independent,axis_v04,89.9999
