experiment,method,n_views,n_objects,angular_error_mean,angular_error_median,angular_error_std,translation_error_mean,translation_error_median,translation_error_std,auc_angular,n_points_mean,precision_5deg,precision_10deg,precision_15deg
axis_v04,svd,6,37,41.6818,37.0239,30.4958,0.072384,0.05631,0.054715,0.3401,4.65,0.0811,0.2432,0.2703
axis_v04,svd,14,61,35.4333,22.2174,33.0982,0.064026,0.049915,0.051815,0.4661,6.46,0.1803,0.377,0.4098
axis_v04,svd,26,48,48.5056,47.8353,32.915,0.071495,0.05504,0.052324,0.3048,8.42,0.0833,0.2083,0.25
axis_v05,ransac_svd_sde,1,29,71.7504,80.6757,22.6048,0.090202,0.093565,0.067804,0.0693,2.0,0.0,0.069,0.069
axis_v05,ransac_svd_sde,6,83,43.4327,34.066,32.1415,0.105691,0.097572,0.076072,0.3475,7.11,0.0964,0.1928,0.2771
axis_v05,ransac_svd_sde,14,95,41.4988,37.6113,32.9471,0.092445,0.071217,0.073197,0.3805,13.16,0.0737,0.2842,0.3895
axis_v05,ransac_svd_sde,26,74,42.2113,30.044,32.8185,0.107108,0.091164,0.071907,0.3703,22.51,0.0811,0.2568,0.3378
axis_v05,ransac_svd,1,29,71.7504,80.6757,22.6048,0.090202,0.093565,0.067804,0.0693,2.0,0.0,0.069,0.069
axis_v05,ransac_svd,6,83,43.4327,34.066,32.1415,0.105691,0.097572,0.076072,0.3475,7.11,0.0964,0.1928,0.2771
axis_v05,ransac_svd,14,95,41.4988,37.6113,32.9471,0.092445,0.071217,0.073197,0.3805,13.16,0.0737,0.2842,0.3895
axis_v05,ransac_svd,26,74,42.2113,30.044,32.8185,0.107108,0.091164,0.071907,0.3703,22.51,0.0811,0.2568,0.3378
axis_v05,svd_sde,1,29,71.7504,80.6757,22.6048,0.090202,0.093565,0.067804,0.0693,2.0,0.0,0.069,0.069
axis_v05,svd_sde,6,83,40.3949,32.0998,30.9309,0.090681,0.084426,0.063106,0.366,7.11,0.0964,0.253,0.3373
axis_v05,svd_sde,14,95,33.4873,13.8678,32.0924,0.07355,0.060293,0.053441,0.4836,13.16,0.1368,0.4,0.5158
axis_v05,svd_sde,26,74,37.9376,23.4153,34.7764,0.07323,0.068713,0.045317,0.4496,22.51,0.1892,0.4189,0.4459
axis_v05,svd,1,29,71.7504,80.6757,22.6048,0.090202,0.093565,0.067804,0.0693,2.0,0.0,0.069,0.069
axis_v05,svd,6,83,40.3949,32.0998,30.9309,0.090681,0.084426,0.063106,0.366,7.11,0.0964,0.253,0.3373
axis_v05,svd,14,95,33.4873,13.8678,32.0924,0.07355,0.060293,0.053441,0.4836,13.16,0.1368,0.4,0.5158
axis_v05,svd,26,74,37.9376,23.4153,34.7764,0.07323,0.068713,0.045317,0.4496,22.51,0.1892,0.4189,0.4459
