experiment,method,n_views,n_total,n_objects,angular_error_mean,angular_error_median,angular_error_std,translation_error_mean,translation_error_median,translation_error_std,auc_angular,n_points_mean,precision_5deg,precision_10deg,precision_15deg
axis_v04,ransac_svd_sde,6,100,54,66.8961,86.291,30.9049,0.077018,0.064544,0.057423,0.1542,3.85,0.04,0.1,0.14
axis_v04,ransac_svd_sde,14,100,59,64.3729,84.6387,32.1676,0.086919,0.062545,0.073245,0.1766,6.27,0.07,0.1,0.16
axis_v04,ransac_svd_sde,26,100,46,70.629,90.0,31.3996,0.093906,0.057177,0.08144,0.1501,9.0,0.06,0.11,0.16
axis_v04,ransac_svd,1,100,23,84.44,90.0,15.4994,0.072572,0.067623,0.050997,0.0218,2.0,0.0,0.02,0.02
axis_v04,ransac_svd,6,100,54,66.8961,86.291,30.9049,0.077018,0.064544,0.057423,0.1542,3.85,0.04,0.1,0.14
axis_v04,ransac_svd,14,100,59,64.3729,84.6387,32.1676,0.086919,0.062545,0.073245,0.1766,6.27,0.07,0.1,0.16
axis_v04,ransac_svd,26,100,46,70.629,90.0,31.3996,0.093906,0.057177,0.08144,0.1501,9.0,0.06,0.11,0.16
axis_v04,svd_sde,1,100,23,84.44,90.0,15.4994,0.072572,0.067623,0.050997,0.0218,2.0,0.0,0.02,0.02
axis_v04,svd_sde,6,100,54,65.5829,85.683,31.911,0.057333,0.047495,0.04195,0.1719,3.85,0.05,0.12,0.15
axis_v04,svd_sde,14,100,59,58.7284,79.5611,35.6811,0.049087,0.046253,0.03407,0.2523,6.27,0.1,0.2,0.26
axis_v04,svd_sde,26,100,46,68.6921,90.0,33.1408,0.055376,0.043004,0.050563,0.1746,9.0,0.09,0.15,0.19
axis_v04,svd,1,100,23,84.44,90.0,15.4994,0.072572,0.067623,0.050997,0.0218,2.0,0.0,0.02,0.02
axis_v04,svd,6,100,54,65.5829,85.683,31.911,0.057333,0.047495,0.04195,0.1719,3.85,0.05,0.12,0.15
axis_v04,svd,14,100,59,58.7284,79.5611,35.6811,0.049087,0.046253,0.03407,0.2523,6.27,0.1,0.2,0.26
axis_v04,svd,26,100,46,68.6921,90.0,33.1408,0.055376,0.043004,0.050563,0.1746,9.0,0.09,0.15,0.19
axis_v05,ransac_svd_sde,1,100,29,84.7076,90.0,14.7227,0.090202,0.093565,0.067804,0.0201,2.0,0.0,0.02,0.02
axis_v05,ransac_svd_sde,6,100,84,57.0989,67.7714,31.041,0.084256,0.060833,0.06721,0.2068,7.31,0.01,0.1,0.17
axis_v05,ransac_svd_sde,14,100,92,45.0408,37.4553,32.0294,0.090645,0.07974,0.067427,0.3246,14.39,0.07,0.16,0.25
axis_v05,ransac_svd_sde,26,100,76,56.5918,73.1469,34.6911,0.085898,0.065193,0.071306,0.2601,22.32,0.04,0.14,0.23
axis_v05,ransac_svd,1,100,29,84.7076,90.0,14.7227,0.090202,0.093565,0.067804,0.0201,2.0,0.0,0.02,0.02
axis_v05,ransac_svd,6,100,84,57.0989,67.7714,31.041,0.084256,0.060833,0.06721,0.2068,7.31,0.01,0.1,0.17
axis_v05,ransac_svd,14,100,92,45.0408,37.4553,32.0294,0.090645,0.07974,0.067427,0.3246,14.39,0.07,0.16,0.25
axis_v05,ransac_svd,26,100,76,56.5918,73.1469,34.6911,0.085898,0.065193,0.071306,0.2601,22.32,0.04,0.14,0.23
axis_v05,svd_sde,1,100,29,84.7076,90.0,14.7227,0.090202,0.093565,0.067804,0.0201,2.0,0.0,0.02,0.02
axis_v05,svd_sde,6,100,84,53.547,62.1818,32.9008,0.047337,0.041799,0.035451,0.2566,7.31,0.03,0.16,0.21
axis_v05,svd_sde,14,100,92,44.2878,42.3406,33.4955,0.047501,0.042789,0.033143,0.3539,14.39,0.09,0.22,0.33
axis_v05,svd_sde,26,100,76,51.1751,76.0202,38.3672,0.033459,0.022478,0.032056,0.3533,22.32,0.17,0.31,0.36
axis_v05,svd,1,100,29,84.7076,90.0,14.7227,0.090202,0.093565,0.067804,0.0201,2.0,0.0,0.02,0.02
axis_v05,svd,6,100,84,53.547,62.1818,32.9008,0.047337,0.041799,0.035451,0.2566,7.31,0.03,0.16,0.21
axis_v05,svd,14,100,92,44.2878,42.3406,33.4955,0.047501,0.042789,0.033143,0.3539,14.39,0.09,0.22,0.33
axis_v05,svd,26,100,76,51.1751,76.0202,38.3672,0.033459,0.022478,0.032056,0.3533,22.32,0.17,0.31,0.36
